sla_code06, estimate
"205353271",33.3
"205353274",40.3
"205353275",50.1
"205405713",63.2
"205405715",52.4
"205405718",46.2
"205407071",31.6
"205407075",35.3
"205407076",28.5
"205607454",53.1
"205607456",32.4
"205650911",72.0
"205650912",71.4
"205054601",32.2
"205905344",69.7
"205054605",45.7
"205054608",75.3
"205607453",49.9
"240101375",29.4
"205852171",35.2
"205852174",45.9
"205905341",52.6
"215106261",43.4
"215106264",38.4
"215106265",38.7
"225055814",43.5
"205055901",81.4
"205905345",59.5
"210052751",54.8
"210052752",39.7
"205055902",68.4
"210106493",78.7
"210106495",64.8
"205301892",36.4
"225056890",39.7
"255053814",45.1
"205056351",69.3
"205057351",78.6
"205057352",44.7
"205101181",35.6
"205101182",37.6
"205103111",44.6
"205103112",62.3
"205104330",55.7
"205105063",60.0
"205105065",47.3
"225102980",52.7
"225107631",null
"225107632",43.5
"230054781",41.9
"230101271",55.4
"230101272",44.0
"230104782",50.7
"230152250",40.5
"240052831",47.9
"255053815",52.0
"205204651",51.3
"205204654",35.4
"205207261",50.7
"205207264",70.0
"205207267",46.0
"210106080",79.3
"205255251",68.2
"205255252",41.6
"205255253",34.4
"205300661",52.3
"205300662",61.6
"205301891",66.6
"205451111",54.0
"205451112",75.1
"205451113",60.8
"205451114",66.9
"205504211",58.3
"205504214",48.4
"205504971",30.9
"205504974",52.8
"235105431",59.0
"235105434",45.2
"235204131",43.5
"235204134",54.4
"235204135",44.6
"205504975",65.2
"205506981",42.8
"205506984",56.0
"205506985",46.2
"205553672",49.0
"205553673",52.9
"205553674",46.1
"205554411",54.2
"205554412",57.9
"205607451",64.4
"205607452",58.7
"205652311",63.3
"240101371",38.0
"240101374",34.6
"205652314",54.3
"205653431",61.5
"205653434",68.9
"205656352",57.7
"205752671",38.3
"205752674",36.4
"205801452",36.0
"205801453",42.4
"205801454",46.7
"205801612",43.6
"240101376",53.5
"240102834",null
"240102835",28.2
"240104901",45.7
"240104904",38.6
"240151011",52.5
"240151014",27.3
"240154250",55.8
"240156430",45.5
"240204851",48.9
"240204854",32.5
"240205621",58.2
"240205622",41.9
"245053351",54.1
"245056671",44.8
"245057170",52.6
"245103352",42.1
"245106701",52.7
"245106704",40.7
"245106705",39.9
"245150111",55.2
"245150112",37.9
"205801613",38.1
"245156672",48.9
"205801616",42.7
"205801618",46.0
"210052753",67.6
"210052754",51.1
"210052755",53.1
"210052756",51.7
"210102757",65.7
"210151751",48.6
"210151754",41.1
"210151755",48.9
"210152491",41.3
"210152492",42.1
"210152758",null
"215016730",50.5
"215051831",41.0
"215051832",43.5
"215055491",47.1
"215055493",41.0
"215055496",47.1
"255053818",null
"255100834",52.4
"255100835",45.3
"255107458",null
"255200741",69.4
"255200744",56.1
"255206171",44.6
"255206174",50.8
"255206175",42.3
"215102411",49.5
"215102412",37.9
"215102413",46.5
"220050571",54.8
"220050572",46.9
"220050573",null
"220050574",42.8
"220102911",43.8
"220102912",44.6
"220105151",53.4
"220105154",42.7
"220105155",33.8
"220150260",45.2
"220155991",30.5
"220155994",38.9
"225053191",44.4
"225053194",45.2
"225055811",59.6
"230156611",34.7
"230156614",39.2
"230156616",40.4
"235052621",53.3
"235052622",53.6
"235052623",56.3
"235052624",43.4
"235052625",40.1
"235052626",49.3
"235101671",50.9
"235101674",40.1
"235102628",30.5
"235103943",36.1
"235103945",38.8
"250052111",57.1
"250052113",58.0
"250052115",37.8
"250052117",null
"250156811",51.5
"250156812",53.8
"250156813",35.1
"250156814",37.9
"250156815",45.5
"255050831",37.5
"255053811",43.1
