area_code, scl_he_12_3_percent_3_13_3_13
105051100,35.5
105054800,48.8
105055200,40.9
105057201,67.6
105057204,32.7
105057205,32.6
105057206,39.1
105106550,41.9
105108050,50.3
105108500,34.3
105154150,53.8
105154450,53.4
105156650,46.6
105157151,44.4
105157152,47.1
105254904,39.8
105301450,27.8
105301501,26.3
105301504,21.3
105308400,21.3
125108859,null
130057311,9.7
130103550,8.6
130103660,null
105200351,42.0
105604004,56.2
105604500,49.6
105607421,47.0
105607423,42.3
105607425,49.2
105655150,48.1
105656370,31.8
105658000,40.0
105703101,25.2
105703104,21.5
105708551,12.5
105708554,15.9
110051720,11.9
110054651,23.6
110054653,22.4
110054655,13.7
110055050,18.9
105200353,38.1
105200355,44.7
105201550,40.7
105252851,41.4
105252854,42.7
105254901,39.3
810059009,null
105350150,48.8
110055903,23.9
110055904,20.6
130104201,14.1
130104920,24.0
130107314,13.0
155102300,14.7
155103342,18.9
155107450,25.7
155107700,50.7
155150650,26.7
155151860,14.0
215055491,null
215055493,22.3
215055496,21.8
520052310,0.0
125106385,16.5
105351300,53.2
105351521,48.8
105351524,53.2
110056400,16.2
110102700,20.1
110103050,14.1
110103320,18.4
110105650,11.3
110107000,11.0
110107620,20.8
115054400,32.9
115056900,20.2
115058451,33.3
115058454,25.6
115076951,18.2
115106952,21.5
115108350,18.9
120057554,2.4
120057556,null
120074851,6.6
120100250,8.8
120101350,12.7
120104550,6.3
120104854,5.1
120106611,null
120106612,3.5
120107558,4.1
125011801,11.9
125036381,16.0
125050600,12.8
125051736,7.7
105357100,53.8
105400200,46.2
105403950,42.8
105406251,48.8
105406252,50.4
125051737,8.3
125051738,11.2
125051804,8.2
125055700,12.6
125103380,17.3
125104350,13.3
305091086,null
105406253,45.1
105406254,35.1
105450900,24.5
105453800,18.2
105456351,22.6
105456354,26.1
105530751,37.2
105530752,30.8
105530753,24.8
105554100,27.3
105554700,43.3
105555350,52.1
105555950,44.3
105556700,51.0
105558250,51.0
105604001,44.3
110055905,34.5
130150111,14.7
130150112,13.9
130153010,8.8
130153650,null
130154202,13.1
130157400,7.8
130157650,21.1
130157850,24.6
130205300,9.9
130205750,8.3
135012601,14.1
135052604,14.1
135052950,28.4
135055271,15.8
135055850,10.7
135058020,15.3
135058150,7.6
135100950,null
135102150,16.9
135107900,null
135107950,16.5
135151150,null
135151200,0.0
135151750,8.0
140030471,16.8
140070473,14.9
140070850,11.5
140071400,12.9
140074870,10.5
140075274,null
140076100,14.6
140150800,27.8
140152350,15.6
140152900,18.3
140154600,13.3
140156200,11.9
140158100,24.1
140206150,13.2
145056181,17.2
145056470,24.0
145101050,19.3
155050050,null
155053341,19.8
145103311,12.6
145103314,14.8
145103700,9.1
145106184,29.2
145107640,10.8
145108710,20.2
145108750,19.7
145150550,13.2
145152750,16.0
145201000,null
145202050,16.6
145207050,21.0
150057751,19.8
150102000,31.7
150102200,29.2
150103500,21.7
150104300,24.3
150104950,26.4
150105800,18.7
150107350,18.8
150107500,12.4
150107754,18.9
150151600,53.4
150153450,10.3
150153850,null
150154750,6.4
150155550,14.4
155152500,18.3
155154250,23.4
155155500,19.5
155157800,31.0
155200300,null
155208200,27.6
160101250,10.7
160101700,null
160108809,null
205054601,71.1
205353274,37.5
205353275,29.9
205405713,43.5
205405715,44.1
205405718,37.6
205407071,30.7
205407075,41.4
205407076,32.8
205451111,72.3
230104782,56.1
230152250,27.2
305091042,null
205054605,38.1
205054608,36.6
205451114,69.8
205504211,62.8
205504214,63.5
205652314,50.5
205653431,46.9
205653434,38.2
205656352,65.0
205752671,35.1
215051832,19.0
205055901,40.9
805057479,19.1
305071318,null
205055902,50.6
235101671,17.3
235101674,19.3
235102628,20.7
235103943,71.7
235103945,28.7
205056351,69.8
205057351,39.6
205057352,46.9
205101181,41.3
205101182,40.6
205103111,36.9
205103112,47.8
205104330,44.2
205105063,63.4
205105065,51.0
255108209,null
205204651,35.8
205204654,19.3
205207261,29.8
205207264,38.2
205207267,23.2
255200741,17.3
255200744,20.2
255206171,18.6
255206174,38.6
255206175,17.4
255208529,0.0
255208649,null
205255251,52.2
205255252,45.3
205255253,35.8
205300661,50.7
205300662,42.5
205301891,49.9
205301892,38.2
205353271,31.3
205451112,64.5
205451113,55.0
205504971,44.4
205504974,62.7
210052754,30.5
205504975,59.3
205506981,55.1
205506984,50.1
205506985,48.8
205553672,34.3
205553673,48.7
205553674,40.2
205554411,35.6
205554412,45.6
205607451,16.8
205607452,33.8
205607453,29.9
205607454,37.5
205607456,18.8
210106080,62.1
210106493,41.6
210106495,29.9
205650911,56.1
205650912,49.5
345057018,null
205652311,40.6
235105431,18.6
235105434,21.8
235204131,19.0
235204134,25.9
235204135,42.6
205752674,45.3
205801452,35.2
205801453,22.4
205801454,21.6
205801612,30.4
240052831,20.3
240101371,20.7
205801613,22.7
205801616,33.3
205801618,25.2
205852171,24.1
205852174,25.4
205905341,20.9
205905344,25.7
205905345,29.6
210052751,27.6
210052752,18.0
240101374,17.6
240101375,21.7
240101376,21.4
240102834,19.9
210052753,38.5
240102835,14.9
240104901,30.5
240104904,24.4
305011227,null
210052755,34.7
210151751,11.4
210151754,21.6
210151755,30.5
210152491,31.4
210152492,30.3
210152758,28.0
215016730,19.5
215051831,26.6
210052756,37.4
210102757,30.5
215058469,null
215102411,13.5
215102412,10.0
215102413,20.1
215106261,18.9
215106264,null
215106265,21.9
240154250,16.9
240156430,19.1
240158249,0.0
240158349,null
240204851,20.3
240204854,23.0
240205621,26.6
240205622,31.7
240208149,null
245053351,23.5
245056671,25.2
245057170,16.3
220050571,30.5
220050572,25.4
220050573,90.5
220050574,25.7
220102911,22.9
220102912,37.5
220105151,20.1
220105154,21.2
220105155,35.3
220150260,18.6
220155991,22.8
220155994,13.1
225053191,16.2
225053194,18.2
225055811,22.6
225055814,14.3
225056890,29.2
225102980,27.1
225107631,53.0
225107632,29.1
230054781,18.8
230101271,47.1
230101272,38.6
230156611,25.4
230156614,14.9
230156616,22.8
235052621,25.7
235052622,19.2
245103352,17.8
245106701,14.2
245106704,15.8
245106705,16.4
245150111,35.1
245150112,15.9
245156672,25.3
245158109,0.0
235052623,28.6
235052624,25.1
255053818,18.6
255100834,27.4
255100835,25.4
255107458,null
235052625,16.4
235052626,22.6
240151011,14.4
240151014,23.0
245158309,null
250052111,17.3
250052113,15.1
250052115,15.0
250052117,16.7
250156811,17.4
250156812,15.6
250156813,23.0
250156814,16.9
250156815,22.8
255050831,17.1
255053811,11.5
255053814,16.2
255053815,19.0
305011067,null
305011143,null
305011274,null
305011146,null
305011187,null
305011277,null
305011315,null
305071375,null
305011304,null
705051048,15.5
305011378,null
305011427,null
805058289,19.1
805058559,26.3
305011421,null
305071585,null
305011454,null
305011481,null
305011525,null
305011528,null
305011607,null
305011631,null
305031004,null
305031244,null
305031007,null
305031026,null
305031031,null
805100279,30.8
305031048,null
305031271,null
305031293,null
305031132,null
305031623,null
305031151,null
305031255,null
305031162,null
305091116,null
305031206,null
305031241,null
305031312,null
305031345,null
305031522,null
305031424,null
305031446,null
305031506,null
305031533,null
305031536,null
305031558,null
305031574,null
305031618,null
305031634,null
305071018,null
305071034,null
305071037,null
305071408,null
305071045,null
305071072,null
305071053,null
305071078,null
305071084,null
305071064,null
305071075,null
305071121,null
305071135,null
345057014,null
305071127,null
305071203,null
305071138,null
305071167,null
305071173,null
305071217,null
305071222,null
305071176,null
305071435,null
305071184,null
305071211,null
305071301,null
305071306,null
305071236,null
305071288,null
305071296,null
305071323,null
305071353,null
305071326,null
305071383,null
305071556,null
305071386,null
305071442,null
305071451,null
305071465,null
305071467,null
305071473,null
305071484,null
305071567,null
305071487,null
305071517,null
305071514,null
305071593,null
305071604,null
305071596,null
305071612,null
305071653,null
305091015,null
305091097,null
305091102,null
305091285,null
305091108,null
305091113,null
305091157,null
305091195,null
305091214,null
305091247,null
305091258,null
305091282,null
305091391,null
305091563,null
305091397,null
305091432,null
345057015,null
305091645,null
305091648,null
305111001,null
305111012,null
305111023,null
305111057,null
305111091,null
305111094,null
305111123,null
305111154,null
305111364,null
345057023,null
305111198,null
305304626,null
305111251,null
305111265,null
305111331,null
305111367,null
305111337,null
305111356,null
305111416,null
305111372,null
305111394,null
305111402,null
305111405,null
305111492,null
305111413,null
305111456,null
305111463,null
