sla_code06, y_2005_06
"105051100",48181.0072675234
"105054800",77844.8808780791
"105055200",52982.2413762802
"105057201",49321.2402319157
"105057204",72510.2689731805
"105057205",55045.7415322349
"105057206",60219.8278229288
"105106550",59929.0749807893
"105108050",76959.9720419332
"105108500",121719.804581511
"105154150",49576.4392087385
"105154450",53002.3313210273
"105156650",47088.8701367747
"105157151",59784.5984607679
"105157152",54553.0035456326
"105200351",40038.3632519142
"105200353",42170.7895744552
"105200355",48931.3448157078
"105201550",42876.1733758459
"105252851",39262.8448693098
"105252854",42212.2834793671
"105254901",43911.6322703405
"105254904",43805.0891453825
"105301450",49976.1430433798
"105301501",43773.0890968824
"105301504",44250.7961640747
"105308400",48758.5922766889
"105351300",49995.5871759787
"105351521",59629.1621033343
"105351524",68720.1021956633
"105350150",52554.5073945027
"105357100",52934.8796243898
"105400200",41605.2667079299
"105403950",44234.1976861169
"105406251",44684.776696673
"105406252",51809.3931232262
"105406253",49546.3327100045
"105554100",116227.713993426
"105554700",83485.6151892873
"105555350",134244.7176451
"105555950",88457.4050342144
"105556700",55663.8934011541
"105406254",40690.3903370927
"105450900",49970.2978849995
"105453800",47872.0718644439
"105456351",44489.5959669666
"105456354",48086.9326703891
"105530751",47910.9801823093
"105530752",44257.4426981035
"105530753",41519.6755525265
"105558250",82905.0798980013
"105600501",57615.3778270997
"105600503",60990.2680456745
"105600505",57755.8117556939
"105604001",59438.8779962018
"105604004",62831.0077603804
"105604500",92858.7610654088
"105655150",83071.5278910627
"105656370",69245.1124511451
"105658000",61778.3063271942
"105703101",49738.1315123308
"105703104",47950.3556062362
"105708551",42382.4752499974
"105708554",43625.6087043597
"110051720",45671.2283228259
"110054651",48879.5323179395
"110054653",47013.8851690619
"110054655",46805.2540122718
"110055050",49728.0068715914
"110055903",53237.0716661485
"110055904",45378.7984648649
"110055905",49544.4554326975
"110056400",45750.5639893379
"110102700",45224.3438748815
"110103050",42548.1733486092
"110103400",41677.7952898529
"110105650",55776.2052086831
"110107000",57254.4797868581
"110107620",52198.9796150615
"115054400",50591.7972095282
"115056900",46657.5405434488
"115058451",51139.9382838223
"115058454",48408.6675943976
"115076951",42135.0708382279
"115106952",42453.3823138392
"115108350",52721.2415827491
"120057554",41198.5279908531
"120057556",40514.3788641304
"120074851",39459.3852478519
"120100250",42901.5335772431
"120101350",41358.0614485711
"120104550",39201.5788402354
"120104854",39346.9575004926
"120106611",37036.9125737136
"120106612",37265.2394860284
"120107558",38857.9546254574
"125011801",40542.1893088981
"125033751",43010.5337444282
"125050600",37803.7103477035
"125051736",39024.8562290067
"125051737",40528.2827500354
"125051738",40459.7946297616
"125051804",39204.6047840616
"125055700",37370.0299379372
"125103350",40112.390619372
"125103754",39646.176447266
"125104350",38365.4381813696
"125108859",45728.3585673867
"130057311",43741.0673135936
"130103550",42230.6486682026
"130103660",38399.4298326304
"130104201",37420.0103425939
"130104920",43352.3391479074
"130107314",40246.8152346949
"130150111",43714.0624120094
"205553672",44251.8078724478
"205553673",46302.8618767405
"205553674",47701.7662220153
"205554411",45329.0272013544
"205554412",47929.6993413839
"205607451",40139.6961246829
"205607452",47119.8415930656
"205607453",45173.6595737224
"250156812",42667.1019594035
"250156813",42602.3432306726
"250156814",44190.2369023961
"205504975",52408.0770541696
"205506981",55033.5615156708
"205506984",49547.3832362352
"205506985",50075.6566867697
"250156815",45915.3497065092
"255050831",44182.9075697981
"255053811",43910.4572293097
"255053814",44572.0678591533
"255053815",48586.5722112292
"255053818",46305.9291482492
"255100834",43817.9900947717
"255100835",43781.0345320729
"255107458",37813.0964544264
"340100600",65552.2407285926
"340100950",45327.9482533491
"340101700",68551.6008958909
"340104765",52260.4155724668
"340105050",50409.2822422326
"340105700",69390.7338498481
"340106550",52623.0223614267
"340107330",43313.0788683661
"345057001",47213.3004789584
"805105679",56904.3363404318
"335057400",48163.4647100288
"340054762",53516.6720395453
"345057003",55861.4402833789
"345057007",47213.3004789584
"345057012",46748.952293582
"135052604",43242.8558031184
"135052950",40481.9559158875
"135055271",43074.1071978131
"710304030",43303.3813858378
"710304409",44557.0267486488
"710353800",46780.4766683514
"135055850",39975.9011780828
"135058020",42057.624627847
"135058150",39502.0338115885
"710304600",43373.4532393387
"710305050",43340.7954216298
"710350300",55472.5797407016
"710351350",44071.6033551033
"135100950",41713.0712514481
"135102150",40557.8322072699
"135107900",39945.1655339048
"135107950",40648.4115581705
"135151150",41996.8468240657
"135151200",40787.7111660233
"135151750",51622.4151107264
"710353409",51359.1231193797
"140030471",46197.995155279
"140070473",46041.7532041411
"710354009",43784.5712369038
"140070850",43709.4910995711
"140071400",42715.0105552484
"140074870",48663.454180319
"140075274",46586.5638520433
"140076100",44581.0981941944
"140150800",40982.2335164171
"140152350",40135.6676716804
"140152900",39936.5277613544
"710400201",47258.9816186216
"710400203",47272.0905113711
"710400205",47260.0984071558
"140154600",39281.9982827292
"140156200",40557.0587400195
"140158100",36713.8223853478
"140206150",47467.7960082752
"805103969",49776.676229115
"805104149",49776.676229115
"805104779",52174.4455976003
"145056181",53712.6866602953
"145056470",53878.9649746015
"805105139",49776.676229115
"805105589",49776.676229115
"145101050",37296.7612309244
"150153850",37890.8555789231
"150154750",41464.9644924393
"150155550",38809.6695999713
"155050050",46348.796764628
"155053371",43024.6717026238
"155102300",41832.5262482833
"805105409",52176.2826769036
"145108750",39029.9542447187
"145150550",40554.6296526554
"145152750",39888.603277797
"145201000",40353.9797192827
"145202050",44112.120926383
"145207050",42604.9804352833
"150057751",45324.4668291461
"805105949",49776.676229115
"805106669",56904.3363404317
"150102000",38873.6626062019
"150102200",40854.3057940847
"150103500",39905.6732351274
"805107569",56904.3363404317
"805107659",49776.676229115
"805108649",56904.3363404318
"805151269",57467.0060763322
"150104300",41440.581387819
"150104950",39588.7964843893
"150105800",39608.4296368765
"150107350",38340.4554366438
"150107500",44286.5471005525
"150107754",42961.4081637124
"150151600",38677.6118134741
"150153450",42990.812729513
"805151719",64067.3081713782
"805152439",60227.4631977251
"130150112",43741.3842079545
"130153010",38422.9944758423
"130153650",36739.7812465974
"130154202",39329.2108288134
"130157400",36613.3399616235
"130157650",41058.3237389806
"130157850",42390.9642341649
"130205300",46439.4581855038
"130205750",45481.537085465
"135012601",44648.6151125233
"145103311",44324.8561543144
"145103314",45028.6281195925
"145103700",40587.316764112
"145106184",49169.5211324681
"145107640",41495.0476092311
"145108710",52432.2517558269
"155103374",41049.1803421303
"155107450",43292.0255413286
"155107700",39905.0282286896
"155150650",40174.6644848467
"155151860",40525.4991653976
"155152500",40533.5490920558
"155154250",40343.135251452
"155155500",41248.5469659443
"155157800",38226.4188967286
"155200300",37554.5231020014
"155208200",39890.2052406327
"160101250",44976.8692403868
"160101700",42227.1223072442
"160108809",44718.5080071892
"205054601",67039.9323001728
"205054605",64945.3712560156
"205054608",62303.8938875292
"205104330",45681.5712781499
"205105063",54769.7977937195
"205105065",46487.6362486855
"205255253",42315.9901906968
"205300661",55209.6351237105
"205300662",48307.9750476894
"205301891",49996.0675924652
"205055901",59808.3896869962
"205055902",80620.6539748875
"205207267",46104.53435573
"205301892",42018.0499928658
"205056351",90714.9902574312
"205057351",58303.098307538
"205057352",58388.8089880591
"205101181",43495.0871972004
"205101182",40497.338445538
"205103111",44651.2859168686
"205103112",58361.356816762
"205204651",43351.9311788126
"205204654",42299.9930896229
"205207261",45759.2623846052
"205207264",47147.1972379474
"205255251",46903.3445547984
"205255252",45328.6853596321
"205353271",39590.4434071416
"205353274",43807.5354943012
"205353275",46738.8960587527
"205405713",55768.7406287673
"205405715",50747.2962747653
"205405718",49862.7610451164
"205407071",46084.1712404439
"205407075",42574.8950395328
"205407076",38839.2998807566
"205451113",81159.6319758989
"205451114",83931.873904835
"205504211",66702.2203350592
"205504214",54789.1025314851
"205852171",43194.6366700033
"205451111",72498.2054242745
"205451112",75808.4392948873
"205504971",44157.1140885724
"205504974",50077.3296502518
"205607454",43199.5214812339
"205607456",43958.7884487115
"205650911",94395.8391658624
"205650912",68620.2225606938
"205801618",44075.1223552696
"205852174",42903.0578597113
"205652311",58859.053124727
"205652314",51401.7651867337
"205653431",47166.4443427281
