sla_code06, ci_high, ci_low, estimate
"205353271",40.5,17.2,27.3
"205353274",41.2,20.1,29.6
"205353275",46.4,21.5,32.7
"205405713",36.3,17.9,26.0
"205405715",39.3,16.1,26.1
"205405718",42.2,14.3,25.9
"205407071",50.6,26.5,37.8
"205407075",51.0,25.6,37.4
"205407076",46.0,24.0,34.2
"205607454",50.9,10.3,25.6
"205607456",48.0,16.2,29.7
"205650911",43.8,20.8,31.1
"205650912",32.1,15.5,22.8
"205054601",75.8,13.8,41.4
"205905344",52.0,20.9,34.9
"205054605",null,null,null
"205054608",37.2,19.2,27.3
"205607453",44.2,24.9,33.9
"240101375",37.4,15.5,24.8
"205852171",43.3,19.3,30.0
"205852174",38.5,20.6,28.7
"205905341",41.5,14.5,25.8
"215106261",26.1,12.3,18.2
"215106264",46.8,16.3,29.2
"215106265",51.5,26.9,38.5
"225055814",32.5,17.3,24.1
"205055901",30.2,14.8,21.5
"205905345",43.3,17.7,28.9
"210052751",37.9,11.4,21.9
"210052752",38.2,16.6,26.0
"205055902",33.3,12.3,20.9
"210106493",37.3,21.5,28.7
"210106495",47.6,22.7,34.1
"205301892",36.9,19.6,27.4
"225056890",32.6,18.7,25.0
"255053814",38.8,15.7,25.6
"205056351",40.1,16.2,26.5
"205057351",36.1,18.1,26.1
"205057352",36.1,14.7,23.7
"205101181",41.1,26.4,33.4
"205101182",43.4,26.6,34.5
"205103111",26.7,12.9,18.8
"205103112",29.1,11.8,19.0
"205104330",27.8,15.9,21.3
"205105063",34.2,17.5,24.9
"205105065",35.3,10.5,20.2
"225102980",37.9,22.5,29.6
"225107631",null,null,null
"225107632",30.4,15.0,21.7
"230054781",34.2,23.8,28.7
"230101271",35.0,15.1,23.7
"230101272",31.1,12.6,20.4
"230104782",65.9,28.7,46.8
"230152250",27.3,15.6,20.9
"240052831",24.5,10.9,16.6
"255053815",45.9,23.5,33.8
"205204651",45.5,27.1,35.8
"205204654",36.9,18.7,26.8
"205207261",38.3,21.5,29.2
"205207264",54.0,19.5,34.8
"205207267",58.2,28.8,42.9
"210106080",35.9,15.5,24.3
"205255251",42.4,18.4,29.0
"205255252",36.8,20.1,27.7
"205255253",35.9,14.1,23.3
"205300661",47.2,28.2,37.2
"205300662",33.9,16.6,24.2
"205301891",38.5,15.8,25.5
"205451111",25.5,6.0,12.9
"205451112",45.6,22.1,32.8
"205451113",33.7,5.3,14.4
"205451114",55.6,20.7,36.3
"205504211",25.4,4.9,11.7
"205504214",33.8,19.8,26.2
"205504971",54.7,22.0,36.9
"205504974",34.7,15.9,24.1
"235105431",32.6,14.6,22.4
"235105434",29.9,16.3,22.4
"235204131",44.9,19.0,30.4
"235204134",43.1,19.1,29.7
"235204135",40.3,20.3,29.3
"205504975",32.9,15.6,23.2
"205506981",35.2,10.7,20.3
"205506984",49.1,21.4,33.9
"205506985",35.2,11.9,21.3
"205553672",45.7,22.5,33.1
"205553673",47.3,19.2,31.6
"205553674",34.2,11.8,20.9
"205554411",41.6,23.1,31.7
"205554412",37.5,18.4,26.9
"205607451",49.3,11.0,25.7
"205607452",40.4,14.5,25.3
"205652311",29.8,12.1,19.5
"240101371",38.9,15.7,25.6
"240101374",35.4,12.5,21.8
"205652314",45.8,24.0,34.1
"205653431",31.5,16.2,23.0
"205653434",47.1,24.5,34.9
"205656352",42.4,21.4,30.9
"205752671",32.7,14.4,22.3
"205752674",41.8,23.0,31.7
"205801452",38.7,18.4,27.4
"205801453",32.4,16.4,23.5
"205801454",null,null,null
"205801612",43.0,27.4,34.7
"240101376",56.8,11.2,28.9
"240102834",null,null,null
"240102835",51.6,13.8,29.2
"240104901",48.2,21.2,33.4
"240104904",28.0,14.0,20.1
"240151011",29.3,14.1,20.7
"240151014",38.7,15.0,25.0
"240154250",32.3,20.1,25.7
"240156430",30.2,15.3,21.8
"240204851",42.7,19.0,29.5
"240204854",34.4,17.5,25.0
"240205621",33.7,18.6,25.4
"240205622",32.5,13.4,21.4
"245053351",37.0,22.9,29.5
"245056671",40.1,15.9,26.2
"245057170",31.5,17.5,23.8
"245103352",44.4,19.6,30.6
"245106701",31.8,16.5,23.3
"245106704",45.3,15.7,28.2
"245106705",41.0,10.7,22.4
"245150111",32.9,15.3,22.9
"245150112",34.9,14.8,23.4
"205801613",42.2,24.3,32.6
"245156672",33.0,16.3,23.7
"205801616",46.2,25.3,35.0
"205801618",36.6,6.4,16.6
"210052753",63.0,21.3,40.4
"210052754",null,null,null
"210052755",null,null,null
"210052756",41.0,20.7,29.9
"210102757",42.7,19.8,30.0
"210151751",29.2,13.3,20.1
"210151754",38.6,15.6,25.4
"210151755",null,null,null
"210152491",37.5,22.0,29.2
"210152492",35.6,18.4,26.1
"210152758",null,null,null
"215016730",30.8,19.2,24.5
"215051831",27.2,11.8,18.3
"215051832",45.2,21.6,32.3
"215055491",46.5,18.1,30.5
"215055493",48.8,13.1,27.5
"215055496",29.4,16.3,22.1
"255053818",null,null,null
"255100834",null,null,null
"255100835",29.9,15.7,22.0
"255107458",null,null,null
"255200741",34.9,11.6,21.0
"255200744",38.4,21.3,29.1
"255206171",31.6,14.8,22.1
"255206174",49.0,10.4,25.0
"255206175",40.0,13.3,24.3
"215102411",35.6,13.5,22.7
"215102412",57.8,22.8,38.9
"215102413",30.5,15.2,21.9
"220050571",27.3,19.2,23.0
"220050572",27.4,17.0,21.7
"220050573",null,null,null
"220050574",25.0,16.3,20.3
"220102911",32.2,15.6,22.8
"220102912",39.4,20.7,29.1
"220105151",39.1,23.1,30.5
"220105154",54.3,25.9,39.2
"220105155",45.2,14.6,27.3
"220150260",29.6,14.7,21.2
"220155991",50.7,20.6,34.0
"220155994",32.2,13.4,21.4
"225053191",28.7,15.3,21.2
"225053194",37.2,15.0,24.4
"225055811",47.3,25.4,35.6
"230156611",26.0,11.1,17.3
"230156614",66.3,22.4,43.0
"230156616",40.4,18.9,28.4
"235052621",28.0,4.8,12.3
"235052622",45.7,9.1,22.5
"235052623",34.6,10.2,19.6
"235052624",35.4,7.8,17.8
"235052625",57.6,17.9,35.2
"235052626",56.5,12.7,30.4
"235101671",32.9,16.9,24.0
"235101674",31.9,13.3,21.1
"235102628",53.3,23.5,37.2
"235103943",38.8,17.0,26.4
"235103945",32.2,13.5,21.4
"250052111",42.5,21.1,30.8
"250052113",47.0,20.1,32.1
"250052115",52.4,11.4,27.3
"250052117",null,null,null
"250156811",41.0,12.9,24.3
"250156812",50.0,14.2,28.9
"250156813",30.6,9.5,17.7
"250156814",53.9,23.0,37.2
"250156815",32.3,13.0,21.1
"255050831",36.5,6.3,16.5
"255053811",45.8,19.8,31.3
