area_code, sla_code, population
105051100,105051100,35993
105108500,105108500,50162
125051736,125051736,19424
435155540,435155540,1905
435156451,435156451,13613
435156454,435156454,3529
435159459,435159459,257
435201830,435201830,1728
435204830,435204830,2842
435206090,435206090,13876
435209529,435209529,1097
435250250,435250250,2236
435251330,435251330,1910
125051737,125051737,22812
435254000,435254000,106
435256970,435256970,4055
435259589,435259589,1569
505051310,505051310,23755
505051750,505051750,8941
505052170,505052170,7257
505055740,505055740,8249
505056580,505056580,20336
505056930,505056930,1580
505057081,505057081,1081
125051738,125051738,5908
505057082,505057082,10496
505057980,505057980,16381
505058570,505058570,26875
505100350,505100350,13464
505100420,505100420,55802
505104200,505104200,49534
505106090,505106090,35092
505108050,505108050,93276
505154171,505154171,49673
505154174,505154174,100000
125051804,125051804,17198
505157914,505157914,98737
505157915,505157915,62434
505157916,505157916,15698
505158761,505158761,31805
505158764,505158764,37655
505158767,505158767,41483
505201820,505201820,74471
505203150,505203150,6699
505203431,505203431,824
505203432,505203432,24008
125055700,125055700,17895
505204830,505204830,23199
505205320,505205320,93000
505207490,505207490,84305
505250210,505250210,50537
505250490,505250490,30335
505251330,505251330,77303
505253780,505253780,91582
505257700,505257700,12894
505257840,505257840,38361
505258510,505258510,27960
125103350,125103350,45144
510015110,510015110,55817
510016230,510016230,11972
510031190,510031190,29700
510031401,510031401,6014
510032661,510032661,7721
510033991,510033991,11533
510100630,510100630,1380
510101404,510101404,4193
510101890,510101890,8612
510102664,510102664,2614
125103754,125103754,28922
510102870,510102870,4737
510103994,510103994,8018
510108820,510108820,3449
510150280,510150280,10349
510151260,510151260,25357
510200770,510200770,1482
510200840,510200840,3954
510205180,510205180,9256
510206300,510206300,1189
515051050,515051050,479
125104350,125104350,27386
515053640,515053640,1366
515054130,515054130,1127
515054340,515054340,4209
515054480,515054480,578
515054550,515054550,2153
515058120,515058120,659
515059380,515059380,403
515100081,515100081,15975
515100084,515100084,15596
515102240,515102240,1062
130057311,130057311,42496
515102730,515102730,4510
515107210,515107210,4483
520050910,520050910,984
520052310,520052310,784
520053010,520053010,630
520056440,520056440,4239
520056510,520056510,832
520057140,520057140,1170
520058610,520058610,1841
520058680,520058680,355
130103550,130103550,11523
520058890,520058890,856
520059100,520059100,716
520059170,520059170,864
520102100,520102100,1141
520104620,520104620,968
520104760,520104760,881
520104900,520104900,1457
525051680,525051680,3518
525052590,525052590,2884
525053570,525053570,4317
105154150,105154150,73727
130103660,130103660,5311
525055600,525055600,2413
525058540,525058540,906
525100560,525100560,1564
525102450,525102450,1247
525102520,525102520,1368
525102940,525102940,704
525103710,525103710,936
525104690,525104690,432
525106650,525106650,6006
525106720,525106720,3792
130104201,130104201,4610
525107350,525107350,1019
525108190,525108190,389
525108330,525108330,4111
525109310,525109310,1386
525109450,525109450,561
525109730,525109730,3118
525151120,525151120,951
525154410,525154410,1183
525155460,525155460,3244
525155880,525155880,614
130104920,130104920,7538
525155950,525155950,580
525156370,525156370,905
525156860,525156860,246
525158400,525158400,392
525159030,525159030,211
525159660,525159660,1412
530014281,530014281,28242
530051960,530051960,3799
530054284,530054284,180
530054970,530054970,725
130107314,130107314,11093
530055040,530055040,1408
530055390,530055390,217
530056620,530056620,1337
530103080,530103080,1068
530103290,530103290,12962
530107420,530107420,1953
535033500,535033500,18914
535033851,535033851,12639
535051540,535051540,5684
535053360,535053360,2061
130150111,130150111,19484
535057770,535057770,856
535058470,535058470,287
535102380,535102380,321
535105250,535105250,1133
535105810,535105810,459
535106160,535106160,111
535107630,535107630,117
535109250,535109250,679
535109590,535109590,243
535151470,535151470,748
130150112,130150112,3882
535151610,535151610,915
535152030,535152030,1200
535153854,535153854,1403
535154060,535154060,3053
535155530,535155530,471
535155670,535155670,823
535156020,535156020,909
535156790,535156790,3206
535157000,535157000,532
535158260,535158260,666
130153010,130153010,8783
540053220,540053220,6545
