area_code,sla_code,unemployed
105051100,105051100,936
105108500,105108500,711
125051736,125051736,763
435155540,435155540,77
435156451,435156451,567
435156454,435156454,120
435159459,435159459,6
435201830,435201830,41
435204830,435204830,44
435206090,435206090,424
435209529,435209529,14
435250250,435250250,46
435251330,435251330,76
125051737,125051737,784
435254000,435254000,0
435256970,435256970,58
435259589,435259589,44
505051310,505051310,276
505051750,505051750,134
505052170,505052170,96
505055740,505055740,161
505056580,505056580,246
505056930,505056930,20
505057081,505057081,39
125051738,125051738,320
505057082,505057082,292
505057980,505057980,352
505058570,505058570,498
505100350,505100350,248
505100420,505100420,1086
505104200,505104200,706
505106090,505106090,543
505108050,505108050,1615
505154171,505154171,961
505154174,505154174,1488
125051804,125051804,687
505157914,505157914,2017
505157915,505157915,972
505157916,505157916,229
505158761,505158761,516
505158764,505158764,772
505158767,505158767,853
505201820,505201820,1248
505203150,505203150,87
505203431,505203431,17
505203432,505203432,547
125055700,125055700,975
505204830,505204830,571
505205320,505205320,1444
505207490,505207490,1794
505250210,505250210,1064
505250490,505250490,634
505251330,505251330,1607
505253780,505253780,1742
505257700,505257700,164
505257840,505257840,778
505258510,505258510,687
125103350,125103350,1884
510015110,510015110,1223
510016230,510016230,231
510031190,510031190,629
510031401,510031401,86
510032661,510032661,139
510033991,510033991,186
510100630,510100630,30
510101404,510101404,70
510101890,510101890,197
510102664,510102664,34
125103754,125103754,981
510102870,510102870,65
510103994,510103994,151
510108820,510108820,61
510150280,510150280,168
510151260,510151260,412
510200770,510200770,22
510200840,510200840,70
510205180,510205180,151
510206300,510206300,23
515051050,515051050,10
125104350,125104350,1198
515053640,515053640,21
515054130,515054130,10
515054340,515054340,78
515054480,515054480,12
515054550,515054550,28
515058120,515058120,10
515059380,515059380,7
515100081,515100081,330
515100084,515100084,264
515102240,515102240,13
130057311,130057311,1385
515102730,515102730,103
515107210,515107210,99
520050910,520050910,25
520052310,520052310,9
520053010,520053010,11
520056440,520056440,78
520056510,520056510,7
520057140,520057140,20
520058610,520058610,21
520058680,520058680,6
130103550,130103550,429
520058890,520058890,10
520059100,520059100,15
520059170,520059170,9
520102100,520102100,21
520104620,520104620,17
520104760,520104760,13
520104900,520104900,19
525051680,525051680,54
525052590,525052590,60
525053570,525053570,67
105154150,105154150,2001
130103660,130103660,125
525055600,525055600,47
525058540,525058540,8
525100560,525100560,36
525102450,525102450,22
525102520,525102520,17
525102940,525102940,7
525103710,525103710,20
525104690,525104690,6
525106650,525106650,197
525106720,525106720,77
130104201,130104201,135
525107350,525107350,30
525108190,525108190,7
525108330,525108330,106
525109310,525109310,16
525109450,525109450,6
525109730,525109730,71
525151120,525151120,19
525154410,525154410,28
525155460,525155460,53
525155880,525155880,4
130104920,130104920,188
525155950,525155950,6
525156370,525156370,11
525156860,525156860,3
525158400,525158400,3
525159030,525159030,3
525159660,525159660,21
530014281,530014281,513
530051960,530051960,94
530054284,530054284,0
530054970,530054970,11
130107314,130107314,322
530055040,530055040,17
530055390,530055390,3
530056620,530056620,6
530103080,530103080,35
530103290,530103290,274
530107420,530107420,9
535033500,535033500,620
535033851,535033851,250
535051540,535051540,76
535053360,535053360,42
130150111,130150111,817
535057770,535057770,13
535058470,535058470,0
535102380,535102380,6
535105250,535105250,33
535105810,535105810,14
535106160,535106160,3
535107630,535107630,5
535109250,535109250,13
535109590,535109590,4
535151470,535151470,13
130150112,130150112,64
535151610,535151610,18
535152030,535152030,26
535153854,535153854,29
535154060,535154060,82
535155530,535155530,10
535155670,535155670,15
535156020,535156020,24
535156790,535156790,75
535157000,535157000,8
535158260,535158260,11
130153010,130153010,284
540053220,540053220,124
540057280,540057280,212
540100250,540100250,78
540107560,540107560,245
545053920,545053920,78
545059520,545059520,82
545100980,545100980,241
545102800,545102800,104
605050410,605050410,505
605051410,605051410,1216
130153650,130153650,142
605051511,605051511,226
605052610,605052610,1300
605052811,605052811,17
605052812,605052812,1378
605053611,605053611,605
605054811,605054811,340
610051010,610051010,59
610051512,610051512,125
610052410,610052410,94
610053010,610053010,431
130154202,130154202,423
610053612,610053612,76
610054812,610054812,34
