sla_code06, estimate
"205353271",76.2
"205353274",73.9
"205353275",78.6
"205405713",78.3
"205405715",79.2
"205405718",81.2
"205407071",76.8
"205407075",77.1
"205407076",75.0
"205607454",81.1
"205607456",78.3
"205650911",80.9
"205650912",80.3
"205054601",77.8
"205905344",79.1
"205054605",77.7
"205054608",77.0
"205607453",76.1
"240101375",81.3
"205852171",75.0
"205852174",76.2
"205905341",77.8
"215106261",79.8
"215106264",82.2
"215106265",80.7
"225055814",80.0
"205055901",78.5
"205905345",77.6
"210052751",76.9
"210052752",77.0
"205055902",75.6
"210106493",80.1
"210106495",80.2
"205301892",76.0
"225056890",81.1
"255053814",77.0
"205056351",77.5
"205057351",78.4
"205057352",76.6
"205101181",75.4
"205101182",71.7
"205103111",74.9
"205103112",79.1
"205104330",74.9
"205105063",78.5
"205105065",80.1
"225102980",79.6
"225107631",null
"225107632",81.2
"230054781",78.4
"230101271",81.1
"230101272",79.3
"230104782",79.5
"230152250",81.5
"240052831",78.5
"255053815",78.9
"205204651",77.8
"205204654",75.4
"205207261",77.4
"205207264",77.8
"205207267",71.7
"210106080",81.5
"205255251",75.3
"205255252",73.9
"205255253",74.4
"205300661",78.9
"205300662",79.0
"205301891",76.3
"205451111",78.4
"205451112",79.8
"205451113",79.6
"205451114",81.5
"205504211",82.1
"205504214",78.7
"205504971",76.6
"205504974",76.6
"235105431",79.0
"235105434",79.1
"235204131",79.7
"235204134",80.7
"235204135",79.9
"205504975",77.1
"205506981",77.9
"205506984",76.4
"205506985",78.0
"205553672",75.7
"205553673",79.7
"205553674",75.9
"205554411",77.2
"205554412",79.3
"205607451",82.4
"205607452",77.8
"205652311",78.4
"240101371",76.7
"240101374",79.2
"205652314",78.3
"205653431",74.6
"205653434",77.2
"205656352",77.9
"205752671",74.9
"205752674",76.7
"205801452",77.1
"205801453",77.6
"205801454",85.0
"205801612",76.2
"240101376",79.5
"240102834",null
"240102835",75.7
"240104901",80.0
"240104904",80.8
"240151011",82.0
"240151014",78.1
"240154250",80.7
"240156430",78.5
"240204851",78.3
"240204854",79.0
"240205621",81.5
"240205622",77.6
"245053351",79.2
"245056671",79.9
"245057170",79.6
"245103352",81.1
"245106701",80.4
"245106704",83.5
"245106705",79.2
"245150111",81.4
"245150112",81.2
"205801613",72.0
"245156672",80.3
"205801616",75.0
"205801618",75.1
"210052753",76.6
"210052754",80.5
"210052755",83.0
"210052756",78.7
"210102757",78.5
"210151751",80.6
"210151754",80.2
"210151755",81.0
"210152491",79.0
"210152492",78.9
"210152758",null
"215016730",79.8
"215051831",81.4
"215051832",84.5
"215055491",80.1
"215055493",83.3
"215055496",80.7
"255053818",null
"255100834",80.2
"255100835",80.7
"255107458",null
"255200741",78.8
"255200744",76.4
"255206171",80.7
"255206174",77.9
"255206175",79.3
"215102411",79.0
"215102412",81.9
"215102413",80.5
"220050571",77.5
"220050572",79.4
"220050573",null
"220050574",79.4
"220102911",80.4
"220102912",78.0
"220105151",78.6
"220105154",78.4
"220105155",81.2
"220150260",79.1
"220155991",77.9
"220155994",78.9
"225053191",81.3
"225053194",80.9
"225055811",81.3
"230156611",81.0
"230156614",80.8
"230156616",77.3
"235052621",78.8
"235052622",81.0
"235052623",80.0
"235052624",79.6
"235052625",79.5
"235052626",79.8
"235101671",77.5
"235101674",79.9
"235102628",79.4
"235103943",77.9
"235103945",77.5
"250052111",79.3
"250052113",79.5
"250052115",74.9
"250052117",null
"250156811",79.9
"250156812",81.0
"250156813",81.0
"250156814",80.0
"250156815",77.4
"255050831",80.2
"255053811",75.8
