sla_code06, estimate
"205353271",26.8
"205353274",32.5
"205353275",34.1
"205405713",30.8
"205405715",38.8
"205405718",25.2
"205407071",28.4
"205407075",29.7
"205407076",29.0
"205607454",23.8
"205607456",23.4
"205650911",36.7
"205650912",41.9
"205054601",59.1
"205905344",20.6
"205054605",60.1
"205054608",49.6
"205607453",26.6
"240101375",17.9
"205852171",35.2
"205852174",32.6
"205905341",18.3
"215106261",20.5
"215106264",29.9
"215106265",25.1
"225055814",27.7
"205055901",45.4
"205905345",27.0
"210052751",23.7
"210052752",44.1
"205055902",43.6
"210106493",28.9
"210106495",25.7
"205301892",32.6
"225056890",21.7
"255053814",36.7
"205056351",36.3
"205057351",45.5
"205057352",38.8
"205101181",24.0
"205101182",26.0
"205103111",43.0
"205103112",40.7
"205104330",38.2
"205105063",35.4
"205105065",20.7
"225102980",21.3
"225107631",null
"225107632",24.6
"230054781",26.3
"230101271",17.4
"230101272",14.5
"230104782",null
"230152250",21.1
"240052831",27.9
"255053815",28.9
"205204651",34.8
"205204654",23.4
"205207261",31.1
"205207264",51.7
"205207267",24.1
"210106080",21.3
"205255251",45.8
"205255252",41.8
"205255253",25.4
"205300661",37.8
"205300662",30.9
"205301891",52.1
"205451111",31.1
"205451112",44.3
"205451113",52.7
"205451114",65.5
"205504211",15.2
"205504214",34.1
"205504971",31.1
"205504974",36.3
"235105431",21.1
"235105434",24.4
"235204131",16.8
"235204134",35.2
"235204135",21.2
"205504975",30.7
"205506981",46.9
"205506984",40.4
"205506985",37.7
"205553672",40.5
"205553673",44.4
"205553674",32.9
"205554411",34.7
"205554412",32.6
"205607451",36.5
"205607452",28.9
"205652311",45.2
"240101371",17.5
"240101374",18.5
"205652314",36.1
"205653431",35.2
"205653434",25.5
"205656352",34.7
"205752671",27.6
"205752674",25.8
"205801452",24.8
"205801453",41.4
"205801454",17.6
"205801612",29.8
"240101376",23.8
"240102834",null
"240102835",null
"240104901",25.9
"240104904",22.1
"240151011",22.5
"240151014",19.8
"240154250",19.5
"240156430",22.1
"240204851",22.2
"240204854",26.6
"240205621",22.4
"240205622",19.3
"245053351",25.7
"245056671",12.0
"245057170",29.6
"245103352",21.6
"245106701",24.9
"245106704",34.3
"245106705",12.7
"245150111",20.0
"245150112",20.7
"205801613",30.3
"245156672",18.0
"205801616",43.0
"205801618",26.2
"210052753",24.6
"210052754",13.0
"210052755",26.1
"210052756",23.8
"210102757",30.7
"210151751",18.5
"210151754",36.0
"210151755",25.7
"210152491",25.5
"210152492",24.2
"210152758",null
"215016730",28.2
"215051831",19.5
"215051832",11.3
"215055491",null
"215055493",18.8
"215055496",23.2
"255053818",null
"255100834",34.2
"255100835",22.4
"255107458",null
"255200741",22.6
"255200744",20.9
"255206171",35.4
"255206174",9.9
"255206175",20.6
"215102411",15.4
"215102412",14.1
"215102413",24.1
"220050571",27.7
"220050572",29.5
"220050573",null
"220050574",29.5
"220102911",21.6
"220102912",23.7
"220105151",29.6
"220105154",52.5
"220105155",13.7
"220150260",15.2
"220155991",21.1
"220155994",17.9
"225053191",31.9
"225053194",16.9
"225055811",15.3
"230156611",25.8
"230156614",17.1
"230156616",20.3
"235052621",27.8
"235052622",19.5
"235052623",39.3
"235052624",18.8
"235052625",57.2
"235052626",21.3
"235101671",22.9
"235101674",18.6
"235102628",32.4
"235103943",18.5
"235103945",19.6
"250052111",21.2
"250052113",18.3
"250052115",20.7
"250052117",null
"250156811",19.8
"250156812",15.9
"250156813",22.5
"250156814",18.0
"250156815",22.3
"255050831",24.6
"255053811",35.2
